Location,Accident_Type,Latitude,Longitude,Date,Year,Month,Day,Hour,Minute
Alexandria,Collision,28.673954,30.469351,2020-10-12,2020,10,12,23,6
Ismailia,Collision,27.314433,29.190696,2020-07-10,2020,7,10,6,14
Ismailia,Vehicle Breakdown,22.238824,30.193026,2023-08-23,2023,8,23,22,34
Suez,Overturn,26.042881,30.669144,2024-11-15,2024,11,15,0,48
Giza,Pedestrian Accident,25.062255,29.932877,2024-04-12,2024,4,12,10,6
Alexandria,Pedestrian Accident,22.870447,34.084966,2023-05-21,2023,5,21,8,51
Cairo,Pedestrian Accident,26.826053,34.838695,2022-02-14,2022,2,14,2,35
Luxor,Vehicle Breakdown,29.969066,31.16981,2021-01-28,2021,1,28,22,4
Cairo,Overturn,28.957615,34.911329,2024-10-17,2024,10,17,7,55
Alexandria,Pedestrian Accident,24.501762,32.814107,2022-01-17,2022,1,17,5,23
Aswan,Overturn,28.031577,33.210922,2023-10-31,2023,10,31,20,4
Mansoura,Overturn,26.807259,30.468866,2022-08-04,2022,8,4,12,17
Ismailia,Overturn,28.161528,34.057112,2024-05-08,2024,5,8,1,14
Cairo,Fire,25.610483,29.397132,2023-03-07,2023,3,7,22,20
Sharm El Sheikh,Pedestrian Accident,25.560687,34.487286,2022-07-28,2022,7,28,4,16
Giza,Overturn,28.704901,32.233864,2024-03-09,2024,3,9,18,27
Mansoura,Pedestrian Accident,25.257968,34.983955,2020-10-10,2020,10,10,16,31
Alexandria,Collision,29.749926,29.917048,2020-11-23,2020,11,23,21,27
Mansoura,Collision,25.462906,32.575331,2022-08-16,2022,8,16,16,16
Ismailia,Collision,28.122551,29.68731,2024-12-17,2024,12,17,17,48
Luxor,Fire,23.00397,31.608592,2022-07-18,2022,7,18,0,46
Luxor,Vehicle Breakdown,28.85766,32.04609,2020-08-05,2020,8,5,20,19
Ismailia,Vehicle Breakdown,23.7902,31.243483,2020-11-26,2020,11,26,17,49
Ismailia,Collision,27.390501,31.931634,2020-08-17,2020,8,17,11,56
Luxor,Overturn,22.521326,34.268058,2020-06-10,2020,6,10,2,46
Port Said,Collision,30.80186,32.196237,2020-09-14,2020,9,14,4,42
Port Said,Vehicle Breakdown,23.486143,32.166043,2023-05-27,2023,5,27,13,13
Ismailia,Overturn,28.416541,31.393954,2023-10-07,2023,10,7,20,23
Port Said,Vehicle Breakdown,26.063375,30.487434,2020-05-11,2020,5,11,10,1
Mansoura,Vehicle Breakdown,24.071033,30.321304,2020-05-25,2020,5,25,22,40
Cairo,Overturn,22.606603,29.188478,2021-11-07,2021,11,7,2,32
Sharm El Sheikh,Fire,28.0208,30.285421,2020-09-27,2020,9,27,23,59
Mansoura,Vehicle Breakdown,26.254039,33.707717,2024-07-11,2024,7,11,13,12
Alexandria,Collision,27.930845,31.125785,2022-04-21,2022,4,21,14,55
Cairo,Collision,22.545514,33.369282,2024-06-27,2024,6,27,3,15
Sharm El Sheikh,Overturn,26.826572,29.841094,2021-01-10,2021,1,10,8,29
Sharm El Sheikh,Collision,25.988177,34.168095,2023-02-01,2023,2,1,3,3
Ismailia,Collision,30.720966,34.558202,2024-10-04,2024,10,4,7,10
Suez,Pedestrian Accident,26.332226,34.187902,2020-04-30,2020,4,30,5,24
Cairo,Pedestrian Accident,24.386828,33.704424,2022-07-20,2022,7,20,9,27
Ismailia,Pedestrian Accident,23.393171,30.780247,2020-04-29,2020,4,29,18,47
Ismailia,Collision,28.73178,29.342992,2023-04-11,2023,4,11,15,32
Ismailia,Overturn,22.511916,32.046971,2024-10-09,2024,10,9,5,4
Mansoura,Collision,28.076913,30.411223,2020-09-02,2020,9,2,18,15
Mansoura,Vehicle Breakdown,22.357675,29.4919,2023-09-08,2023,9,8,18,36
Ismailia,Fire,30.412356,30.225555,2024-01-06,2024,1,6,10,15
Luxor,Pedestrian Accident,23.177905,32.873005,2022-07-25,2022,7,25,10,59
Alexandria,Collision,26.12457,34.990727,2020-07-23,2020,7,23,2,34
Sharm El Sheikh,Vehicle Breakdown,24.386804,34.599556,2024-12-09,2024,12,9,2,56
Sharm El Sheikh,Fire,24.564887,31.629107,2023-01-17,2023,1,17,22,19
Mansoura,Vehicle Breakdown,22.070408,33.902625,2021-09-05,2021,9,5,21,6
Giza,Fire,23.038858,29.642216,2023-02-07,2023,2,7,4,17
Luxor,Vehicle Breakdown,23.895667,31.057282,2023-11-08,2023,11,8,20,54
Luxor,Vehicle Breakdown,26.396787,34.432019,2024-09-28,2024,9,28,1,5
Suez,Fire,22.396781,31.001339,2020-09-24,2020,9,24,20,16
Giza,Pedestrian Accident,26.965124,31.566122,2020-01-20,2020,1,20,3,4
Giza,Vehicle Breakdown,22.324253,31.215296,2023-02-05,2023,2,5,4,27
Giza,Collision,24.774325,34.393889,2024-06-18,2024,6,18,1,57
Aswan,Overturn,28.1386,33.0016,2021-12-25,2021,12,25,17,56
Suez,Vehicle Breakdown,28.745299,34.554583,2021-04-29,2021,4,29,5,51
Giza,Pedestrian Accident,22.223077,33.419387,2021-11-11,2021,11,11,13,51
Sharm El Sheikh,Fire,23.432781,33.207669,2022-02-22,2022,2,22,1,54
Port Said,Overturn,23.796155,34.510711,2021-12-17,2021,12,17,9,52
Sharm El Sheikh,Overturn,22.21298,30.158779,2021-11-03,2021,11,3,8,55
Alexandria,Fire,25.160315,32.056434,2023-10-23,2023,10,23,17,21
Cairo,Collision,29.893346,30.567291,2023-04-04,2023,4,4,8,2
Alexandria,Vehicle Breakdown,25.911074,33.37127,2021-10-04,2021,10,4,13,38
Ismailia,Collision,25.466759,32.459528,2021-06-05,2021,6,5,1,45
Suez,Collision,26.679283,33.839065,2023-11-07,2023,11,7,23,47
Sharm El Sheikh,Fire,25.881677,34.693247,2021-11-07,2021,11,7,19,20
Alexandria,Fire,26.564103,33.001357,2021-10-30,2021,10,30,12,44
Luxor,Vehicle Breakdown,23.14559,31.522678,2022-02-15,2022,2,15,21,47
Giza,Vehicle Breakdown,27.121947,31.436451,2024-09-03,2024,9,3,0,19
Luxor,Overturn,25.868993,32.479909,2023-09-02,2023,9,2,10,29
Port Said,Pedestrian Accident,28.080645,32.067044,2024-06-13,2024,6,13,23,10
Alexandria,Fire,26.639068,32.797645,2021-11-17,2021,11,17,2,52
Sharm El Sheikh,Fire,24.021766,30.19478,2020-02-20,2020,2,20,1,15
Port Said,Vehicle Breakdown,29.647639,29.436969,2022-04-28,2022,4,28,20,36
Sharm El Sheikh,Pedestrian Accident,26.449395,30.463907,2023-09-05,2023,9,5,22,0
Alexandria,Pedestrian Accident,23.96957,33.824659,2023-11-26,2023,11,26,16,29
Cairo,Vehicle Breakdown,24.242785,34.090018,2022-07-23,2022,7,23,4,51
Port Said,Vehicle Breakdown,30.891032,32.572714,2024-03-26,2024,3,26,14,39
Ismailia,Pedestrian Accident,29.475123,32.287232,2020-11-21,2020,11,21,23,55
Port Said,Pedestrian Accident,24.332724,30.483438,2023-07-29,2023,7,29,8,49
Ismailia,Pedestrian Accident,27.640736,30.647585,2020-06-07,2020,6,7,22,18
Sharm El Sheikh,Fire,25.022628,34.358161,2020-06-14,2020,6,14,4,9
Sharm El Sheikh,Pedestrian Accident,28.245548,33.238515,2020-05-11,2020,5,11,13,26
Aswan,Vehicle Breakdown,26.193319,29.373594,2024-09-01,2024,9,1,13,24
Mansoura,Collision,29.710588,33.593567,2022-02-18,2022,2,18,15,0
Aswan,Fire,28.781276,34.120688,2024-09-07,2024,9,7,13,34
Ismailia,Vehicle Breakdown,30.080302,31.929377,2021-07-12,2021,7,12,13,31
Cairo,Pedestrian Accident,25.025166,33.074851,2022-04-08,2022,4,8,23,10
Port Said,Overturn,30.826498,32.204742,2022-03-17,2022,3,17,18,36
Cairo,Collision,27.784747,29.814197,2022-08-03,2022,8,3,5,3
Luxor,Pedestrian Accident,24.946174,31.728196,2021-11-22,2021,11,22,12,17
Suez,Fire,29.514198,31.821841,2024-03-14,2024,3,14,17,3
Aswan,Overturn,27.851297,33.687398,2023-08-27,2023,8,27,1,48
Cairo,Overturn,23.794246,29.12228,2020-11-08,2020,11,8,7,8
Port Said,Collision,27.075726,30.307787,2023-12-03,2023,12,3,8,49
Aswan,Overturn,27.453034,34.782408,2024-01-11,2024,1,11,3,49
Giza,Fire,22.972889,29.154071,2021-09-30,2021,9,30,18,43
Suez,Pedestrian Accident,30.473235,30.189979,2023-04-27,2023,4,27,22,53
Sharm El Sheikh,Collision,28.274737,30.809496,2023-11-02,2023,11,2,19,51
Alexandria,Vehicle Breakdown,29.043718,31.083223,2022-05-27,2022,5,27,21,23
Alexandria,Vehicle Breakdown,27.827889,29.075913,2022-05-10,2022,5,10,15,6
Suez,Fire,27.720266,33.972244,2023-12-19,2023,12,19,4,27
Giza,Vehicle Breakdown,30.689264,30.620494,2024-07-13,2024,7,13,17,49
Port Said,Pedestrian Accident,25.92017,33.386157,2021-07-03,2021,7,3,10,54
Sharm El Sheikh,Collision,24.510354,31.704812,2024-03-16,2024,3,16,14,36
Mansoura,Pedestrian Accident,25.02757,31.965839,2021-10-27,2021,10,27,5,31
Sharm El Sheikh,Fire,29.180491,31.042033,2024-12-07,2024,12,7,19,44
Luxor,Vehicle Breakdown,22.09136,34.688375,2020-06-24,2020,6,24,7,46
Suez,Pedestrian Accident,26.996586,30.441944,2022-09-02,2022,9,2,20,45
Port Said,Pedestrian Accident,29.136396,29.55832,2021-03-29,2021,3,29,12,44
Sharm El Sheikh,Fire,27.97564,31.214123,2023-02-07,2023,2,7,16,22
Suez,Vehicle Breakdown,24.977122,33.21713,2021-07-08,2021,7,8,9,16
Sharm El Sheikh,Collision,28.491559,30.893288,2024-03-01,2024,3,1,17,48
Giza,Overturn,23.947462,31.905192,2024-01-23,2024,1,23,18,48
Ismailia,Vehicle Breakdown,24.546988,29.603157,2021-02-01,2021,2,1,9,14
Aswan,Overturn,24.720408,33.248111,2020-09-16,2020,9,16,8,2
Cairo,Vehicle Breakdown,24.62923,34.664538,2023-07-30,2023,7,30,15,6
Cairo,Vehicle Breakdown,24.559054,31.872285,2021-11-28,2021,11,28,5,3
Luxor,Pedestrian Accident,23.026784,29.392061,2022-10-04,2022,10,4,2,36
Cairo,Overturn,23.342778,32.377038,2021-09-14,2021,9,14,2,15
Alexandria,Vehicle Breakdown,28.879991,32.637906,2024-06-07,2024,6,7,19,14
Ismailia,Pedestrian Accident,26.05463,31.656326,2024-10-27,2024,10,27,18,27
Luxor,Vehicle Breakdown,27.589246,32.657785,2024-02-24,2024,2,24,3,48
Sharm El Sheikh,Overturn,24.381815,29.487125,2021-05-06,2021,5,6,5,35
Alexandria,Overturn,22.024082,31.703022,2023-05-01,2023,5,1,15,18
Cairo,Overturn,24.592944,30.69631,2024-10-26,2024,10,26,14,4
Sharm El Sheikh,Fire,29.090452,32.750348,2023-09-16,2023,9,16,6,27
Alexandria,Vehicle Breakdown,24.023285,29.893936,2021-06-28,2021,6,28,4,4
Cairo,Overturn,29.133657,32.570264,2024-08-15,2024,8,15,18,58
Luxor,Pedestrian Accident,23.119183,33.132068,2023-12-04,2023,12,4,12,17
Ismailia,Vehicle Breakdown,26.444157,29.482651,2020-03-22,2020,3,22,13,47
Aswan,Vehicle Breakdown,24.253311,29.547961,2023-10-12,2023,10,12,18,37
Cairo,Fire,27.186223,33.578654,2020-12-24,2020,12,24,15,33
Port Said,Fire,23.633402,32.511978,2023-07-24,2023,7,24,15,5
Port Said,Fire,25.675133,30.92635,2020-08-02,2020,8,2,5,21
Suez,Pedestrian Accident,24.59396,34.671161,2024-07-24,2024,7,24,17,2
Port Said,Collision,24.830654,30.939643,2024-05-01,2024,5,1,12,55
Ismailia,Collision,27.918943,32.255562,2022-04-26,2022,4,26,1,12
Ismailia,Fire,27.603705,31.990959,2022-06-24,2022,6,24,1,13
Luxor,Vehicle Breakdown,23.179119,30.728175,2024-12-08,2024,12,8,22,31
Alexandria,Collision,30.758321,32.65323,2021-05-05,2021,5,5,22,10
Luxor,Vehicle Breakdown,22.12307,31.447944,2021-04-05,2021,4,5,3,29
Alexandria,Overturn,26.48538,33.29962,2022-11-08,2022,11,8,22,17
Suez,Pedestrian Accident,30.822202,30.462385,2023-02-02,2023,2,2,4,24
Sharm El Sheikh,Vehicle Breakdown,26.574168,34.275958,2024-11-04,2024,11,4,2,17
Suez,Fire,30.408236,32.046426,2024-08-07,2024,8,7,0,18
Luxor,Vehicle Breakdown,27.21931,32.959645,2024-11-07,2024,11,7,4,28
Ismailia,Pedestrian Accident,25.106115,32.311505,2023-01-17,2023,1,17,12,29
Aswan,Overturn,30.826972,30.432833,2022-02-23,2022,2,23,7,54
Suez,Collision,24.863587,31.837858,2024-07-19,2024,7,19,12,24
Giza,Pedestrian Accident,30.68342,29.757478,2023-04-23,2023,4,23,10,55
Alexandria,Pedestrian Accident,22.897405,34.46265,2020-02-01,2020,2,1,23,9
Suez,Overturn,22.673454,33.689152,2021-06-26,2021,6,26,10,39
Suez,Collision,29.665888,34.114048,2024-10-25,2024,10,25,17,24
Aswan,Pedestrian Accident,29.851447,29.215395,2020-05-20,2020,5,20,7,40
Luxor,Overturn,28.720897,31.603829,2020-07-20,2020,7,20,20,45
Alexandria,Pedestrian Accident,23.497283,30.796796,2020-02-29,2020,2,29,1,20
Cairo,Fire,25.22617,31.584121,2021-05-15,2021,5,15,16,26
Mansoura,Overturn,23.529853,29.47381,2024-11-18,2024,11,18,12,39
Sharm El Sheikh,Pedestrian Accident,30.215461,29.858706,2022-08-02,2022,8,2,20,16
Port Said,Fire,28.001566,34.393451,2022-08-10,2022,8,10,9,43
Ismailia,Overturn,22.664757,34.671414,2023-04-18,2023,4,18,9,40
Suez,Fire,26.111522,30.81273,2022-02-26,2022,2,26,15,6
Sharm El Sheikh,Pedestrian Accident,27.147304,32.448872,2023-12-03,2023,12,3,9,1
Suez,Fire,22.072882,34.190404,2024-05-12,2024,5,12,23,3
Mansoura,Pedestrian Accident,29.49555,34.41761,2024-05-07,2024,5,7,7,38
Aswan,Overturn,27.729561,32.725347,2023-10-20,2023,10,20,23,49
Giza,Collision,30.130633,32.878044,2021-09-24,2021,9,24,14,2
Mansoura,Fire,28.591238,29.5408,2021-08-27,2021,8,27,10,47
Suez,Overturn,23.807153,33.719077,2024-11-29,2024,11,29,11,33
Ismailia,Fire,29.474254,30.541821,2024-08-15,2024,8,15,15,51
Luxor,Fire,29.238093,31.809988,2020-06-03,2020,6,3,4,48
Sharm El Sheikh,Pedestrian Accident,30.705428,33.827526,2022-01-19,2022,1,19,2,50
Suez,Collision,24.380127,29.741532,2022-01-24,2022,1,24,21,47
Luxor,Vehicle Breakdown,25.429229,32.831296,2022-01-30,2022,1,30,3,43
Sharm El Sheikh,Pedestrian Accident,22.225222,34.305409,2023-02-23,2023,2,23,10,58
Mansoura,Overturn,27.828871,32.812424,2022-08-08,2022,8,8,22,19
Suez,Collision,23.257993,34.677569,2021-09-15,2021,9,15,15,7
Alexandria,Overturn,29.985334,29.813984,2022-07-18,2022,7,18,11,42
Ismailia,Pedestrian Accident,27.286063,33.359595,2024-12-18,2024,12,18,13,41
Alexandria,Pedestrian Accident,27.54087,34.634318,2021-07-26,2021,7,26,1,44
Aswan,Overturn,25.990448,34.703331,2024-10-17,2024,10,17,11,6
Aswan,Vehicle Breakdown,30.115266,32.868961,2020-05-04,2020,5,4,12,17
Sharm El Sheikh,Collision,30.541097,33.945146,2020-07-06,2020,7,6,21,13
Mansoura,Collision,22.455207,31.001055,2020-09-14,2020,9,14,18,13
Alexandria,Vehicle Breakdown,23.864416,30.295708,2024-11-16,2024,11,16,7,21
Giza,Vehicle Breakdown,22.02552,34.150437,2020-10-23,2020,10,23,4,34
Luxor,Overturn,22.989337,34.198687,2020-09-26,2020,9,26,0,22
Sharm El Sheikh,Vehicle Breakdown,24.913943,30.045477,2020-04-17,2020,4,17,4,47
