Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
17:02:00,Monday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Collision with roadside-parked vehicles,0.2,0.2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
17:02:00,Monday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
17:02:00,Monday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Collision with roadside objects,0.2,0.2,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
1:06:00,Sunday,18-30,Male,Employee,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
1:06:00,Sunday,18-30,Male,Employee,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,0.2,0.2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
14:15:00,Friday,31-50,Male,Unknown,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,U-Turn,Not a Pedestrian,Overloading,Slight Injury
17:30:00,Wednesday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,0.0,0.0,Moving Backward,Not a Pedestrian,Other,Slight Injury
17:20:00,Friday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,U-Turn,Not a Pedestrian,No priority to vehicle,Slight Injury
17:20:00,Friday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Collision with roadside-parked vehicles,0.2,0.0,Going straight,Crossing from driver's nearside,Changing lane to the right,Slight Injury
17:20:00,Friday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Collision with roadside-parked vehicles,0.2,0.0,U-Turn,Not a Pedestrian,Moving Backward,Serious Injury
14:40:00,Saturday,18-30,Male,Owner,No junction,Dry,Daylight,Normal,Collision with animals,0.2,0.0,Turnover,Not a Pedestrian,Changing lane to the left,Serious Injury
14:40:00,Saturday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Collision with animals,0.2,0.0,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury
17:45:00,Thursday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Collision with animals,0.2,0.2,Going straight,Not a Pedestrian,No distancing,Slight Injury
17:45:00,Thursday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Collision with animals,0.2,0.2,Waiting to go,Not a Pedestrian,No priority to vehicle,Slight Injury
17:45:00,Thursday,31-50,Male,Employee,No junction,Dry,Daylight,Normal,Collision with animals,0.2,0.2,Going straight,Not a Pedestrian,No distancing,Serious Injury
22:45:00,Monday,18-30,Female,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,0.2,0.4000000000000001,Going straight,Not a Pedestrian,No distancing,Serious Injury
22:45:00,Monday,18-30,Male,Owner,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
22:45:00,Monday,18-30,Male,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
22:45:00,Monday,18-30,Male,Employee,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,0.2,0.4000000000000001,Moving Backward,Not a Pedestrian,No priority to pedestrian,Slight Injury
8:20:00,Tuesday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Collision with animals,0.2,0.0,Going straight,Not a Pedestrian,Moving Backward,Serious Injury
8:20:00,Tuesday,Under 18,Male,Employee,Y Shape,Dry,Daylight,Normal,Collision with animals,0.2,0.0,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
15:10:00,Thursday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Collision with animals,0.0,0.0,Moving Backward,Not a Pedestrian,Overtaking,Serious Injury
12:11:00,Thursday,18-30,Male,Employee,Y Shape,Dry,Daylight,Normal,Other,0.2,0.0,Getting off,Not a Pedestrian,Overloading,Serious Injury
12:11:00,Thursday,31-50,Male,Employee,Y Shape,Dry,Daylight,Normal,Rollover,0.2,0.0,Reversing,Not a Pedestrian,Changing lane to the right,Serious Injury
18:36:00,Wednesday,18-30,Male,Unknown,Crossing,Dry,Daylight,Normal,Collision with animals,0.2,0.4000000000000001,Turnover,Not a Pedestrian,Improper parking,Slight Injury
18:36:00,Wednesday,18-30,Male,Employee,Crossing,Dry,Daylight,Normal,Rollover,0.2,0.4000000000000001,Going straight,Not a Pedestrian,Other,Slight Injury
18:36:00,Wednesday,18-30,Unknown,Employee,Crossing,Dry,Daylight,Normal,Collision with animals,0.2,0.4000000000000001,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
14:35:00,Friday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Collision with animals,0.0,0.0,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
12:25:00,Tuesday,Over 51,Unknown,Unknown,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,0.2,0.0,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
12:25:00,Tuesday,18-30,Male,Employee,No junction,Dry,Daylight,Normal,Fall from vehicles,0.2,0.0,Going straight,Not a Pedestrian,Overspeed,Slight Injury
