Location,Accident_Type,Latitude,Longitude,Year,Month,Day,Hour,Minute
Cairo,Severe,25.78791402588455,29.005876394572432,2024.0,6.0,9.0,5.0,0.0
Luxor,Minor,40.82775556123867,28.469645464549966,2023.0,8.0,3.0,23.0,0.0
Cairo,Minor,25.23132346849348,32.855576346767336,2023.0,7.0,11.0,5.0,
Sharm El Sheikh,Minor,29.69349422777353,26.488204201371516,2022.0,5.0,,3.0,0.0
Giza,Moderate,26.17395170680325,34.51078586945694,2021.0,9.0,10.0,18.0,0.0
Giza,Fatal,,28.112342487544005,2022.0,3.0,24.0,,0.0
Alexandria,Fatal,22.05840344713928,31.529325692424294,2023.0,11.0,7.0,9.0,0.0
Giza,Severe,22.863792655976198,26.501840232384467,2023.0,12.0,10.0,20.0,0.0
Aswan,Severe,28.741962525158463,33.78399460314224,2020.0,2.0,6.0,8.0,0.0
Cairo,Minor,24.029686992604407,29.202887243559907,2020.0,8.0,24.0,17.0,0.0
Cairo,Minor,28.92030447486038,26.980167288395638,2022.0,5.0,8.0,6.0,0.0
Aswan,Moderate,27.58385136790238,,2020.0,5.0,11.0,23.0,
Cairo,Severe,30.931584682635876,31.968723835528007,2022.0,2.0,6.0,16.0,0.0
Aswan,Minor,31.354639120778426,33.53917452061506,2023.0,2.0,24.0,1.0,
Alexandria,Fatal,22.601064033714053,12.949771609053126,2020.0,7.0,4.0,8.0,0.0
Giza,Fatal,22.16886361297059,25.7503623940164,2021.0,5.0,,20.0,0.0
Alexandria,Moderate,31.28474947131232,27.63078234069607,2022.0,10.0,20.0,15.0,0.0
Luxor,Severe,23.19737849333318,32.8240652404692,2021.0,1.0,16.0,18.0,0.0
Alexandria,Minor,27.7882041578769,29.061597342958734,2021.0,4.0,11.0,4.0,0.0
Luxor,Fatal,25.304256996388727,31.28492116015154,2022.0,3.0,10.0,22.0,0.0
Alexandria,Fatal,22.35457354776775,25.55714864079772,2023.0,5.0,2.0,9.0,0.0
Luxor,Moderate,23.296748114199126,28.421012908856643,2021.0,11.0,14.0,0.0,0.0
Alexandria,Minor,24.070024862320153,29.34669126251192,2022.0,1.0,1.0,19.0,0.0
Alexandria,Moderate,28.572890478725988,33.170717351285894,2021.0,4.0,18.0,2.0,0.0
Sharm El Sheikh,Fatal,31.151002970490783,33.62147490791068,2024.0,6.0,17.0,8.0,0.0
Sharm El Sheikh,Minor,,26.8793023077306,2021.0,5.0,,18.0,0.0
Sharm El Sheikh,Moderate,31.236200656987606,32.3991895800877,2024.0,5.0,15.0,23.0,0.0
Cairo,Minor,26.703894588186543,34.28659568006664,2022.0,10.0,2.0,23.0,0.0
Aswan,Moderate,24.316782132350383,26.61607929578318,2023.0,7.0,11.0,19.0,0.0
Giza,Fatal,29.122451620108368,30.435978288824426,2024.0,6.0,27.0,7.0,0.0
Giza,Moderate,24.971321734881375,31.58278844493052,2022.0,10.0,5.0,14.0,0.0
Luxor,Severe,27.549475102173464,26.447230818023225,2021.0,2.0,21.0,18.0,0.0
Alexandria,Moderate,22.70768465273885,34.26669828535123,2020.0,3.0,11.0,12.0,0.0
Cairo,Moderate,25.59549382645139,27.68360642518798,2023.0,2.0,2.0,12.0,0.0
Luxor,Moderate,23.294804170384573,33.0762179249338,2023.0,8.0,25.0,7.0,0.0
Aswan,Moderate,28.418069019504006,27.697379526759867,2023.0,9.0,27.0,20.0,0.0
Giza,Moderate,30.20659707152011,32.26617039390632,2021.0,4.0,5.0,11.0,0.0
Sharm El Sheikh,Severe,25.191046145807334,,2020.0,9.0,11.0,19.0,0.0
Cairo,Fatal,25.01437576001643,34.524479004209844,2024.0,8.0,,17.0,0.0
Luxor,Fatal,23.875641997796464,,2024.0,2.0,27.0,10.0,0.0
Giza,Moderate,31.448810735150346,34.91409488716876,2021.0,12.0,4.0,17.0,0.0
Aswan,Moderate,41.17861286430826,27.555206081538444,2020.0,,17.0,10.0,0.0
Alexandria,Severe,30.038920500642718,34.2953859897369,2023.0,2.0,25.0,2.0,0.0
Luxor,Fatal,25.147647460575453,27.07330559320593,2023.0,9.0,13.0,18.0,0.0
Alexandria,Minor,22.92251316264247,31.83450983626026,2020.0,6.0,4.0,11.0,0.0
Alexandria,Minor,27.77763087775049,32.43968648328158,2023.0,1.0,,22.0,
Sharm El Sheikh,Fatal,25.13650599590073,33.66368850397993,2024.0,7.0,16.0,1.0,0.0
Alexandria,Moderate,26.723062996529915,30.477382521247833,2023.0,1.0,9.0,4.0,0.0
Luxor,Fatal,22.40243839111668,28.51241796216454,2023.0,2.0,7.0,4.0,0.0
Cairo,Minor,25.062692626576446,34.7068761225036,2024.0,8.0,15.0,15.0,0.0
Sharm El Sheikh,Fatal,28.471337532462208,31.229714049956435,2022.0,6.0,27.0,5.0,0.0
Cairo,Moderate,23.630605627145552,25.638770746056082,2024.0,7.0,15.0,16.0,0.0
Giza,Fatal,23.725749362819233,27.583246744411195,,9.0,4.0,18.0,0.0
Cairo,Moderate,24.766461193481597,25.204228932715868,2023.0,4.0,15.0,6.0,0.0
Cairo,Fatal,31.1872730816039,26.74607624131699,2021.0,2.0,12.0,1.0,0.0
Luxor,Fatal,27.913792173905176,29.07498357164755,,12.0,,19.0,0.0
Luxor,Fatal,23.174797044761885,28.37315011783902,2024.0,12.0,6.0,5.0,0.0
Sharm El Sheikh,Moderate,28.037476723834914,31.519823350913683,2023.0,8.0,15.0,9.0,0.0
Luxor,Severe,25.213619593721177,26.489774285468012,,2.0,7.0,13.0,0.0
Aswan,Minor,27.631965219373846,30.19479155033936,2024.0,1.0,15.0,6.0,0.0
Sharm El Sheikh,Severe,22.468363607153513,31.103263375067076,2023.0,10.0,7.0,5.0,0.0
Aswan,Fatal,22.972676855269743,28.767937141212286,2022.0,6.0,15.0,7.0,0.0
Giza,Moderate,31.447282918153554,32.79145248270111,2024.0,11.0,21.0,21.0,0.0
Aswan,Moderate,25.567841321860712,25.340629922789784,2023.0,6.0,9.0,10.0,0.0
Alexandria,Moderate,,32.101203104662176,2021.0,4.0,16.0,3.0,0.0
Alexandria,Fatal,29.214007769185393,32.51395551138136,2020.0,9.0,18.0,5.0,0.0
Aswan,Severe,25.8240475508838,31.997306737929712,2024.0,2.0,20.0,7.0,0.0
Giza,Moderate,23.84928697044779,32.88011118361471,2023.0,7.0,21.0,1.0,0.0
Sharm El Sheikh,Severe,28.706290462969335,29.430145601338584,2021.0,2.0,5.0,6.0,0.0
Aswan,Moderate,,33.44498045238966,2024.0,,10.0,,0.0
Luxor,Moderate,26.33122632553736,31.976310484145827,2024.0,3.0,6.0,10.0,0.0
Sharm El Sheikh,Moderate,28.618176999369172,34.67045893920833,2020.0,4.0,18.0,17.0,0.0
Aswan,Severe,25.071783697187698,26.206566284151315,2021.0,1.0,29.0,17.0,0.0
